Libellé;;Taux moyen pondéré des taux au jour le jour - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;Taux annuel monétaire - Capitalisation des taux au jour le jour - Taux d'intérêt - Série arrêtée;Valeurs à revenus variables avec avoir fiscal - Fin de mois - Taux d'intérêt - Série arrêtée;TMO - Obligations de 1ere catégorie, taux au règlement - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;TMO - Obligations de 2eme catégorie, taux au règlement - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;TME - Taux de rendement des emprunts d'État - Long terme - Moyenne mensuelle - Taux d'intérêt - Série arrêtée;TME - Taux de rendement des emprunts d'État - Long terme - Fin de mois - Taux d'intérêt - Série arrêtée;Obligations de 1ere catégorie, taux de rendement en bourse - Taux d'intérêt - Série arrêtée;Obligations de 2eme catégorie, taux de rendement en bourse - Taux d'intérêt - Série arrêtée;Bons du Trésor à 13 semaines - Moyenne mensuelle pondérée - Taux d'intérêt - Série arrêtée;Taux de base bancaire - Fin de mois - Taux d'intérêt - Série arrêtée
IdBank;;000603912;000603916;000603937;000603938;000603939;000603940;000603941;000603944;000603947;000603959;000603988
Année;Mois
1961;9;35 700;;;;;;;;;;
1961;8;35 200;;;;;;;;;;
1961;7;36 500;;;;;;;;;;
1961;6;37 600;;;;;;;;;;
1961;5;39 100;;;;;;;;;;
1961;4;37 000;;;;;;;;;;
1961;3;37 000;;;;;;;;;;
1961;2;35 900;;;;;;;;;;
1961;1;36 500;;;;;;;;;;
1960;12;37 000;;;;;;;;;;
1960;11;37 600;;;;;;;;;;
1960;10;39 900;;;;;;;;;;
1960;9;41 500;;;;;;;;;;
1960;8;40 500;;;;;;;;;;
1960;7;45 300;;;;;;;;;;
1960;6;41 500;;;;;;;;;;
1960;5;42 500;;;;;;;;;;
1960;4;42 200;;;;;;;;;;
1960;3;41 700;;;;;;;;;;
1960;2;41 100;;;;;;;;;;
1960;1;39 100;;;;;;;;;;
1959;12;40 700;;;;;;;;;;
1959;11;40 200;;;;;;;;;;
1959;10;38 700;;;;;;;;;;
1959;9;40 500;;;;;;;;;;
1959;8;39 300;;;;;;;;;;
1959;7;42 700;;;;;;;;;;
1959;6;36 700;;;;;;;;;;
1959;5;38 800;;;;;;;;;;
1959;4;41 300;;;;;;;;;;
1959;3;43 600;;;;;;;;;;
1959;2;42 300;;;;;;;;;;
1959;1;43 900;;;;;;;;;;
1958;12;60 700;;;;;;;;;;
1958;11;52 600;;;;;;;;;;
1958;10;55 000;;;;;;;;;;
1958;9;64 600;;;;;;;;;;
1958;8;69 700;;;;;;;;;;
1958;7;68 500;;;;;;;;;;
1958;6;75 100;;;;;;;;;;
1958;5;100 400;;;;;;;;;;
1958;4;67 800;;;;;;;;;;
1958;3;59 600;;;;;;;;;;
1958;2;52 500;;;;;;;;;;
1958;1;51 700;;;;;;;;;;
1957;12;57 200;;;;;;;;;;
1957;11;48 700;;;;;;;;;;
1957;10;49 400;;;;;;;;;;
1957;9;57 700;;;;;;;;;;
1957;8;79 400;;;;;;;;;;
1957;7;78 200;;;;;;;;;;
1957;6;57 800;;;;;;;;;;
1957;5;51 900;;;;;;;;;;
1957;4;46 100;;;;;;;;;;
1957;3;41 000;;;;;;;;;;
1957;2;35 200;;;;;;;;;;
1957;1;39 200;;;;;;;;;;
1956;12;35 500;;;;;;;;;;
1956;11;37 100;;;;;;;;;;
1956;10;34 700;;;;;;;;;;
1956;9;30 000;;;;;;;;;;
1956;8;30 200;;;;;;;;;;
1956;7;32 100;;;;;;;;;;
1956;6;30 200;;;;;;;;;;
1956;5;31 000;;;;;;;;;;
1956;4;30 800;;;;;;;;;;
1956;3;30 600;;;;;;;;;;
1956;2;30 500;;;;;;;;;;
1956;1;29 500;;;;;;;;;;
1955;12;29 900;;;;;;;;;;
1955;11;30 600;;;;;;;;;;
1955;10;30 200;;;;;;;;;;
1955;9;30 000;;;;;;;;;;
1955;8;30 600;;;;;;;;;;
1955;7;33 000;;;;;;;;;;
1955;6;31 900;;;;;;;;;;
1955;5;32 700;;;;;;;;;;
1955;4;32 300;;;;;;;;;;
1955;3;32 800;;;;;;;;;;
1955;2;32 500;;;;;;;;;;
1955;1;32 700;;;;;;;;;;
1954;12;32 900;;;;;;;;;;
1954;11;35 100;;;;;;;;;;
1954;10;36 500;;;;;;;;;;
1954;9;37 700;;;;;;;;;;
1954;8;38 200;;;;;;;;;;
1954;7;37 900;;;;;;;;;;
1954;6;35 700;;;;;;;;;;
1954;5;35 400;;;;;;;;;;
1954;4;35 500;;;;;;;;;;
1954;3;34 200;;;;;;;;;;
1954;2;35 500;;;;;;;;;;
1954;1;36 600;;;;;;;;;;
1953;12;37 500;;;;;;;;;;
1953;11;40 000;;;;;;;;;;
1953;10;39 100;;;;;;;;;;
1953;9;43 400;;;;;;;;;;
1953;8;41 800;;;;;;;;;;
1953;7;41 300;;;;;;;;;;
1953;6;39 400;;;;;;;;;;
1953;5;42 200;;;;;;;;;;
1953;4;40 500;;;;;;;;;;
1953;3;39 300;;;;;;;;;;
1953;2;41 000;;;;;;;;;;
1953;1;39 700;;;;;;;;;;
1952;12;39 300;;;;;;;;;;
1952;11;39 800;;;;;;;;;;
1952;10;39 800;;;;;;;;;;
1952;9;40 000;;;;;;;;;;
1952;8;37 700;;;;;;;;;;
1952;7;38 400;;;;;;;;;;
1952;6;36 600;;;;;;;;;;
1952;5;37 700;;;;;;;;;;
1952;4;36 500;;;;;;;;;;
1952;3;35 100;;;;;;;;;;
1952;2;39 300;;;;;;;;;;
1952;1;35 000;;;;;;;;;;
