Libellé;;Chômeurs au sens du BIT - Ensemble - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des 50 ans et plus - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des femmes - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des hommes - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Ensemble des moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Femmes de moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de 25 à 49 ans - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de 50 ans et plus - En milliers de personnes - Données CVS - France métropolitaine;Chômeurs au sens du BIT - Hommes de moins de 25 ans - En milliers de personnes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - France métropolitaine + DOM;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - France métropolitaine;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - France métropolitaine + DOM
IdBank;;001688358;001688359;001688361;001688362;001688363;001688364;001688365;001688366;001688367;001688368;001688369;001688370;001688526;001688527;001688528;001688529;001688530;001688531;001688532;001688533;001688534;001688535;001688536;001688537;001688538;001688539;001688540;001688541;001688542;001688543;001688544;001688545;001688546;001688547;001688548;001688549
Année;Trimestre
1983;4;1 737;769;206;919;818;762;414;94;410;355;112;351;7,2;;5,1;;4,4;;9,1;;5,8;;17,2;;6,6;;5,2;;20,7;;4,1;;4,0;;14,3;
1983;3;1 666;734;204;884;782;728;397;93;394;337;111;334;6,9;;4,9;;4,4;;8,8;;5,6;;16,2;;6,4;;5,1;;19,7;;3,9;;3,9;;13,4;
1983;2;1 623;711;205;866;757;706;387;93;385;324;112;321;6,7;;4,8;;4,4;;8,6;;5,4;;15,6;;6,3;;5,1;;19,1;;3,7;;3,9;;12,8;
1983;1;1 614;706;206;867;747;702;387;94;386;319;112;316;6,7;;4,8;;4,3;;8,7;;5,3;;15,4;;6,3;;5,1;;19,0;;3,7;;3,9;;12,5;
1982;4;1 623;709;208;874;748;705;389;95;391;321;113;315;6,7;;4,8;;4,3;;8,8;;5,3;;15,5;;6,4;;5,0;;19,2;;3,7;;3,9;;12,5;
1982;3;1 607;701;208;869;739;698;383;95;390;318;113;307;6,7;;4,8;;4,3;;8,7;;5,2;;15,4;;6,4;;5,0;;19,2;;3,7;;3,8;;12,3;
1982;2;1 567;686;205;851;716;675;374;93;383;312;112;293;6,5;;4,7;;4,2;;8,5;;5,1;;14,9;;6,2;;4,8;;18,8;;3,6;;3,8;;11,7;
1982;1;1 538;675;203;838;700;661;369;92;378;306;111;283;6,4;;4,6;;4,1;;8,4;;5,0;;14,6;;6,2;;4,7;;18,6;;3,5;;3,7;;11,4;
1981;4;1 525;664;202;837;688;659;365;92;381;299;111;278;6,4;;4,6;;4,1;;8,5;;4,9;;14,6;;6,2;;4,7;;18,7;;3,5;;3,7;;11,2;
1981;3;1 487;643;200;824;663;644;356;91;377;286;109;268;6,2;;4,4;;4,0;;8,4;;4,7;;14,3;;6,1;;4,7;;18,4;;3,3;;3,6;;10,9;
1981;2;1 424;611;197;798;627;616;342;90;365;269;107;251;5,9;;4,2;;3,9;;8,1;;4,4;;13,7;;5,9;;4,6;;17,9;;3,1;;3,5;;10,2;
1981;1;1 349;572;191;765;584;585;324;89;352;249;102;234;5,6;;4,0;;3,8;;7,8;;4,1;;13,0;;5,6;;4,6;;17,2;;2,9;;3,3;;9,5;
1980;4;1 272;532;185;731;541;556;306;88;338;226;97;218;5,3;;3,7;;3,7;;7,5;;3,8;;12,2;;5,3;;4,6;;16,5;;2,6;;3,1;;8,7;
1980;3;1 216;502;180;710;506;534;293;88;329;209;93;205;5,1;;3,5;;3,6;;7,3;;3,6;;11,7;;5,1;;4,5;;16,0;;2,4;;3,0;;8,1;
1980;2;1 197;491;177;703;494;528;288;87;327;203;90;201;5,0;;3,5;;3,5;;7,3;;3,5;;11,4;;5,1;;4,5;;15,8;;2,4;;2,9;;7,9;
1980;1;1 190;492;174;691;499;523;285;85;321;207;90;202;5,0;;3,5;;3,5;;7,1;;3,5;;11,2;;5,0;;4,4;;15,4;;2,4;;2,9;;7,9;
1979;4;1 173;495;169;666;507;509;280;79;308;215;91;201;4,9;;3,5;;3,4;;6,9;;3,6;;10,9;;5,0;;4,1;;14,6;;2,5;;2,9;;7,9;
1979;3;1 150;490;163;638;512;497;269;73;296;221;90;201;4,9;;3,5;;3,3;;6,6;;3,6;;10,6;;4,8;;3,9;;13,9;;2,6;;2,9;;7,9;
1979;2;1 119;479;157;611;508;483;257;68;286;222;89;198;4,7;;3,4;;3,2;;6,4;;3,6;;10,3;;4,6;;3,6;;13,4;;2,6;;2,9;;7,8;
1979;1;1 089;466;151;592;497;472;251;64;277;215;88;195;4,6;;3,4;;3,1;;6,3;;3,6;;10,1;;4,6;;3,4;;13,0;;2,6;;2,9;;7,7;
1978;4;1 068;452;145;582;487;471;248;59;275;204;85;197;4,6;;3,3;;3,0;;6,2;;3,5;;10,2;;4,6;;3,2;;13,0;;2,4;;2,8;;7,8;
1978;3;1 019;434;138;555;464;447;239;55;260;195;82;187;4,4;;3,2;;2,8;;6,0;;3,3;;9,7;;4,5;;3,0;;12,4;;2,3;;2,7;;7,4;
1978;2;950;414;132;518;431;404;231;52;236;184;80;168;4,1;;3,0;;2,7;;5,6;;3,1;;8,7;;4,3;;2,8;;11,2;;2,2;;2,6;;6,6;
1978;1;937;410;131;517;420;396;232;52;232;177;79;164;4,0;;3,0;;2,7;;5,6;;3,0;;8,5;;4,4;;2,9;;11,0;;2,1;;2,6;;6,4;
1977;4;976;418;135;539;437;423;238;57;244;180;78;180;4,2;;3,1;;2,7;;5,8;;3,1;;9,0;;4,5;;3,1;;11,4;;2,2;;2,5;;7,0;
1977;3;996;416;136;553;443;444;240;60;253;177;76;190;4,3;;3,1;;2,7;;6,0;;3,2;;9,4;;4,6;;3,2;;11,8;;2,1;;2,5;;7,4;
1977;2;950;395;133;536;414;422;232;60;243;163;73;179;4,1;;2,9;;2,7;;5,8;;3,0;;8,9;;4,4;;3,2;;11,3;;2,0;;2,4;;6,9;
1977;1;872;365;128;494;378;379;216;58;220;149;69;159;3,8;;2,7;;2,6;;5,4;;2,7;;8,0;;4,2;;3,1;;10,2;;1,8;;2,2;;6,2;
1976;4;830;353;120;470;360;357;208;54;209;145;66;148;3,6;;2,6;;2,4;;5,2;;2,6;;7,5;;4,1;;2,9;;9,7;;1,8;;2,2;;5,7;
1976;3;835;360;116;475;360;360;210;51;214;149;65;146;3,6;;2,7;;2,4;;5,3;;2,6;;7,6;;4,2;;2,8;;10,0;;1,8;;2,1;;5,6;
1976;2;840;362;113;473;366;365;207;48;218;154;65;147;3,7;;2,7;;2,3;;5,3;;2,6;;7,7;;4,1;;2,6;;10,2;;1,9;;2,1;;5,6;
1976;1;822;356;110;450;372;356;198;46;207;158;65;149;3,6;;2,7;;2,3;;5,1;;2,7;;7,5;;4,0;;2,5;;9,6;;1,9;;2,1;;5,7;
1975;4;812;355;109;432;380;349;193;45;194;162;64;154;3,6;;2,7;;2,2;;4,9;;2,7;;7,3;;3,9;;2,5;;9,1;;2,0;;2,1;;5,8;
1975;3;790;346;104;415;375;340;187;43;185;159;61;155;3,5;;2,7;;2,1;;4,7;;2,7;;7,1;;3,9;;2,3;;8,7;;2,0;;2,0;;5,8;
1975;2;718;315;96;379;339;307;173;39;167;142;57;140;3,2;;2,4;;2,0;;4,3;;2,4;;6,4;;3,6;;2,2;;7,9;;1,8;;1,8;;5,3;
1975;1;644;278;89;349;295;277;156;38;154;121;51;122;2,9;;2,2;;1,8;;4,0;;2,1;;5,8;;3,3;;2,1;;7,3;;1,5;;1,7;;4,6;
