,FRACPIALLQINMEI,FRARGDPQDSNAQ,NAEXKP01FRQ661S,NAEXKP01FRQ657S,LMUNRLTTFRQ647S,IRLTLT01FRQ156N,LMUNRLTTFRQ647N,LRUN74TTFRQ156N,FRAPROINDQISMEI,SPASTT01FRQ661N,FRAGFCEQDSNAQ,SPASTT01FRQ657N,FRAGDPDEFQISMEI,IR3TIB01FRQ156N,NAEXKP02FRQ657S,NAEXKP02FRQ659S,NAEXKP02FRQ661S,FRAPFCEQDSNAQ,FRAGFCFQDSNAQ,FRAIMPORTQDSNAQ,CRDQFRAPABIS,NAEXKP03FRQ657S,NAEXKP03FRQ659S,NAEXKP03FRQ661S,FRAEXPORTQDSNAQ,CPALTT01FRQ659N,LCWRMN01FRQ661N,LCWRMN01FRQ661S,CPALTT01FRQ657N,CCUSSP01FRQ650N,FRAPROMANQISMEI,CCUSMA02FRQ618N,CRDQFRBPABIS,NAEXKP06FRQ661S,XTIMVA01FRQ664N,XTIMVA01FRQ664S,XTIMVA01FRQ667S,FRAGDPRQPSMEI,WSCNDW01FRQ489N,WSCNDW01FRQ489S,NAEXKP04FRQ657S,NAEXKP04FRQ659S,NAEXKP04FRQ661S,NAEXKP06FRQ657S,NAEXKP06FRQ659S,CCRETT02FRQ661N,LORSGPORFRQ661S,XTEXVA01FRQ664N,XTEXVA01FRQ664S,XTEXVA01FRQ667S,FRAPERMITQISMEI,LORSGPORFRQ659S,CHEGDPNQDSMEI,XFORSD01FRQ194N,PRCNTO01FRQ657S,PRCNTO01FRQ659S,PRCNTO01FRQ661N,XTNTVA01FRQ664N,XTNTVA01FRQ664S,XTNTVA01FRQ667S,FRACPIFODQINMEI,FRACPIENGQINMEI,LCEAMN01FRQ659S,LCEAMN01FRQ661N,LCEAMN01FRQ661S,PRMNTO01FRQ657S,PRMNTO01FRQ661N,FRAPROCONQISMEI
1970-01-01,15.1517771529082,175991.0,0.398765305436131,1.91137444507939,229800.0,8.78,252666.666666667,2.11586486065605,66.0223799907929,0.0788864131116142,36241.82349,4.66896287650743,15.2118978549088,9.92,1.92655451349003,4.57839770178363,0.377537657250763,100810.04662,37030.0,17448.0,103.756,0.981915842616394,3.80332487343968,0.386655814501489,16429.0,5.52635684094007,0.0729572159512884,0.072933490617153,1.49215004017978,1.1838,73.8230151274799,0.845736331294074,67.728,0.137560573781246,3618529873.14717,3620206812.33678,4280531230.3476,6.2312983584485,31700.0,34415.7293736383,-0.881867200754872,5.6249217287081,0.438819597546059,6.31945370345064,18.9098997737701,1.03410067566844,0.398765305436131,3634384570.93986,3702834179.67946,4378356998.08843,129.455121718896,6.2312983584485,25.5024866100511,4126000000.0,0.173904115260259,3.07824324150416,0.93062856603955,15854697.7926905,82627367.3426762,97825767.740828,14.4656235994464,11.0594624383432,10.5016008404703,0.0729572159512884,0.072933490617153,2.98196948867296,0.737885773594442,97.3491169602151
1970-04-01,15.3369312525364,178565.0,0.403797876934544,1.26203845465172,253766.666666667,8.6,235066.666666667,2.20402589651672,66.6221795367824,0.072079395379339,36751.72687,-8.62888482791592,15.4750667582469,9.18666666666666,2.27729356995346,4.0829893197887,0.386135298043487,101828.40369,37994.0,18098.0,106.257,1.35844599028742,4.03273707813908,0.391908324909798,17041.0,5.43725936984363,0.0746180306233503,0.0745059328632006,1.22199592668025,1.1885,74.2207148751188,0.842336718209679,69.36,0.136556374010287,3949649138.58683,3717926632.38596,4413773696.37418,4.99637806822435,43633.33,41577.666882004,3.87843159730465,4.9404652790585,0.45583891547245,-0.730005512012156,14.6762203291495,1.04379261766597,0.403797876934544,3983035473.36182,3729817655.73048,4427899737.7127,132.792500813265,4.99637806822434,26.0283110764456,4447000000.0,3.85401395412769,3.73681256102378,1.09383830016439,33386334.7749929,11891023.3445184,14126041.338526,14.6928064897074,11.0781502761911,10.5975087494783,0.0746180306233503,0.0745059328632006,0.538720542573534,0.746438216542866,101.100965512082
1970-07-01,15.4912263355599,180588.0,0.409359137197098,1.37723860877446,273133.333333333,8.44333333333333,247766.666666667,2.29218693237738,66.3556019593,0.0722812984469884,37254.28627,0.280112043929797,15.6790401628585,8.67333333333334,0.367903735848546,3.58650095806041,0.387555904230419,102548.1769,38563.0,18847.0,108.991,0.805007014136167,4.12369020449197,0.395063214414305,17426.0,5.27513090021869,0.0765161045342781,0.0764557807306903,1.00603621730382,1.1881,74.3698522773218,0.841625289462571,71.145,0.145449922258059,3498400047.56409,3875101569.15774,4604288571.03786,5.44556342954454,38100.0,43239.5059676049,-0.156848526884937,3.57906429215784,0.455123938848563,6.51273022751898,17.3771540283461,1.04267829035847,0.409359137197098,3478276777.28876,3864887485.00283,4592157817.5861,124.536900888278,5.44556342954454,26.9362346544257,4743000000.0,0.289159143133961,2.96118329923249,0.965935161357022,-20123270.2753379,-10214084.1549068,-12130753.4517623,14.8706017951291,11.2538159519606,10.9661544697255,0.0765161045342781,0.0764557807306903,0.200937706479793,0.600809118309602,101.393308197657
1970-10-01,15.6712372657539,182906.0,0.415786837315907,1.57018606273688,292100.0,8.38,312833.333333333,2.29218693237738,67.3996974722213,0.0716755892404695,37862.84925,-0.837988829106389,15.7929317633446,7.92,1.70422578434281,6.41440543310639,0.394160731879057,104908.36958,38641.0,19073.0,118.48,1.39376552196628,4.61570968172703,0.400569469286784,17860.0,4.97168403680508,0.0785802599124121,0.0787967662090782,1.16201859229747,1.1883,75.662376445405,0.841777738479809,77.339,0.148101897343795,4113379383.09981,4006055274.96467,4759095357.85707,6.26152147487552,47133.33,40913.9226177386,1.5472666271956,4.39147033766097,0.462165919666745,1.82329082378669,14.4667573361311,1.04021293374421,0.415786837315907,4184877972.18415,3983645269.43077,4732434862.29549,128.912729627034,6.26152147487552,27.7460043325241,4960000000.0,0.264263428259103,4.61116640147057,1.02588975791572,71498589.0843456,-22410005.5338993,-26660495.5615773,15.0879071684222,11.3958435196041,10.9497062516503,0.0785802599124121,0.0787967662090782,1.73796791106089,0.765206077517899,101.661253629925
1971-01-01,15.8872503819869,185858.0,0.416323548671309,0.129083296351337,312466.666666667,8.38333333333333,342800.0,2.38034796823805,68.4215781847884,0.0726562612858882,38586.50324,1.36820925479742,16.3219801617375,6.37666666666667,0.959871793582294,5.40515943855229,0.397944169565742,105892.61714,39824.0,18812.0,121.398,0.924850609176724,4.55659097869361,0.404274138463658,18238.0,4.85403937542429,0.0811189337682781,0.0810474948811198,1.37840498851328,1.1896,76.6566258090824,0.841178105678675,79.244,0.150500510793028,3990657924.22369,3936233625.06994,4679448147.81088,4.40315217894272,37266.67,40612.6890753903,1.12955261009833,6.50990281405307,0.467386326875326,1.61956969643995,9.40671927725422,1.01918695481422,0.416323548671309,4168108580.28804,4187774503.51166,4978462836.46907,148.19568443694,4.40315217894269,28.7053418587321,5490000000.0,-9.51501149572984,-5.50692545272008,0.886994943212016,177450656.064346,251540878.441727,299014688.658188,15.3002737832314,11.5416086548171,11.1252103735981,0.0811189337682781,0.0810474948811198,1.31406044904596,0.766393916824925,91.9881736603348
1971-04-01,16.1392656842586,187590.0,0.42390890870917,1.82198678457389,327266.666666667,8.44666666666667,301300.0,2.38034796823805,68.5548669735296,0.0736946199241044,39112.27541,1.42913854888626,16.365889389616,6.49,1.29146022342359,4.38917712768139,0.403083460227116,107435.13678,40563.0,19307.0,125.904,0.830596062514361,4.01208589619078,0.407632023539501,18527.0,5.23138832997986,0.0829695558314328,0.0828663380092822,1.58627387504047,1.1894,77.0046130832981,0.842072473246468,82.185,0.15122730731234,4257291255.37192,4013372827.79207,4766038948.13054,4.98046991413121,47633.33,45021.0862068983,3.4899452678187,6.1115752636474,0.483697853872543,0.48291963627428,10.7434994582882,1.00940035417665,0.42390890870917,4434589462.41903,4190823483.85641,4976878241.7187,145.882323000325,4.9804699141312,29.7499797981791,5655000000.0,4.94490008342164,-4.51436695244394,1.04320997451787,177298207.047108,177450656.064346,210839293.58816,15.5422729489443,11.904152709065,11.2211267274945,0.0829695558314328,0.0828663380092822,0.453955898192608,0.774471224036725,96.5368969364027
1971-07-01,16.3604219699256,190403.0,0.43082117334018,1.63060140728319,344200.0,8.46,312433.333333333,2.38034796823805,70.1099028444074,0.0713871562871949,39600.34045,-3.13111545901967,16.6408591340795,6.37,1.13467597312974,5.18667034926739,0.407657151401973,108876.73194,41184.0,20364.0,129.699,0.666058015520616,3.86871627986642,0.410347089306115,19328.0,5.61088977423638,0.0851523408289998,0.0851352405958728,1.37029955385596,1.1862,78.769405703735,0.841051064830977,84.663,0.159972907159234,3912908925.43261,4327722701.33561,5145582818.81849,5.2428379368868,38200.0,44144.773580333,0.79552544790089,7.12374185908822,0.487545793391049,5.78308243552272,9.98486948340093,0.990106032775283,0.43082117334018,4118257751.6514,4547859082.22643,5407372304.00138,137.744708198372,5.2428379368868,30.5492329869552,7310000000.0,3.15378035001756,-1.78695182883772,0.93862251229385,205348826.218792,220136380.890821,261789485.182886,15.7743945976892,12.1545697362258,11.3522611138525,0.0851523408289998,0.0851352405958728,2.29180116589626,0.636444297313171,99.5814586224997
1971-10-01,16.5918645944609,192339.0,0.434512367579651,0.856781065529509,360666.666666667,8.39666666666667,389900.0,2.46850900409872,71.8204422976888,0.0646089818548894,40037.145,-9.49494949068506,16.8267984287068,5.91,1.27203532134776,4.73968129440202,0.412842694357807,110052.56,41559.0,20279.0,137.566,1.06874162630114,3.53575877869042,0.414732639461845,19321.0,5.87463078437809,0.0872164962071338,0.087416983834191,1.41464948129521,1.2556,80.7579044274764,0.835944022753524,89.798,0.158454586695225,4576214599.43258,4412331905.90237,5278093514.09612,4.50363710035308,49133.33,42317.4517480277,3.53134510939653,9.21677614957048,0.504762717922033,-0.94911100321382,6.9902476180962,0.962472111712403,0.434512367579651,4865410385.13195,4645731351.29284,5557593719.40725,152.17492778215,4.5036371003531,31.4372920852268,7601000000.0,1.9698666194131,-0.116242020117555,1.02289202787533,289195785.699368,233399445.390475,279500205.311133,16.0657813482414,12.2592216281737,10.9398114159152,0.0872164962071338,0.087416983834191,2.52445566394196,0.816758303145825,101.543080535029
1972-01-01,16.7975913718255,194098.0,0.440203593820643,1.30979614520386,371166.666666667,8.27,405400.0,2.46850900409872,72.6423898271442,0.0702334244705257,40261.943,8.70535714100662,17.1719623093366,5.25666666666667,1.49228888049526,5.29203140151163,0.419003499979645,111234.76,42300.0,21989.0,141.712,0.903463958314218,3.51381885892419,0.418479599382748,20044.0,5.7300097118809,0.0899687033779791,0.0898912945166153,1.23992560446373,1.3046,81.8267224886419,0.777591620588951,92.504,0.168202536958066,4780801180.56519,4578806232.72562,5890024924.04114,5.73593428129316,42766.67,46449.3120035153,0.343794264401282,8.36818153865076,0.506498063195085,6.15188898355532,11.7621037109855,0.990669184204087,0.440203593820643,4764031788.66908,4646188698.34456,5976323027.32014,136.560837091909,5.73593428129318,32.473750532948,7800000000.0,-1.75590477557815,8.44881115153794,0.97026521575653,-16769391.8961151,67382465.6189354,86298103.2789996,16.3621068572775,12.2106332497693,10.9118729067044,0.0899687033779791,0.0898912945166153,1.3234841452893,0.818183710321163,99.7600807346452
1972-04-01,17.0341771657949,196307.0,0.441894756058592,0.384177290165021,384533.333333333,7.88333333333333,351433.333333333,2.46850900409872,73.9974925149102,0.0793190625433116,40814.92,12.936344968625,17.5162730131231,5.14,0.288897018935997,4.24987132033535,0.420213988600324,112005.7,42899.0,22264.0,149.418,0.814528109304424,3.4973233182554,0.421888233351425,20996.0,5.54493307839389,0.0922701179949791,0.092142618050463,1.40845070422534,1.3114,83.3429527672562,0.765598964566275,97.535,0.172870309005764,4928371829.251,4753055459.42798,6208483836.96314,4.2428566562073,47666.67,44892.9646722411,0.527047540681242,5.26562082182012,0.509167548780753,2.77509015744566,14.3115698335636,1.01099846906212,0.441894756058592,5306140493.96531,5067710231.006,6618847311.43716,138.912445729737,4.24285665620731,33.3921906005267,8656000000.0,-0.229315923519779,3.10183789082683,1.07818348877876,377768664.714303,314654771.578015,410363474.474022,16.6534936078297,12.2106332497693,11.1942680997219,0.0922701179949791,0.092142618050463,1.85297691573156,0.838376978436999,99.5313149842045
1972-07-01,17.3633400095784,198923.0,0.44581860544465,0.887960160707914,384166.666666667,7.83,349533.333333333,2.46850900409872,75.2637360079515,0.0848281319733529,41384.29,6.94545453942197,17.9717346816411,4.78666666666667,2.62843413505082,5.78964088666438,0.431259036516953,114327.3,43605.0,22594.0,154.125,0.732765965977994,3.56590745130371,0.42497968673989,21014.0,6.13014775227918,0.0949985992419378,0.094989863860588,1.93236714975847,1.3088,85.3314514909976,0.762905698595081,100.607,0.170416214906202,4296318203.7847,4806717513.49555,6300518669.81709,3.48112698087561,38166.67,44646.2779077156,0.821355236139651,5.29259611345699,0.513349623103387,-1.41961573024089,6.52817275901137,1.0201394787906,0.44581860544465,4525601525.70976,5103230852.02231,6689185250.08871,134.816169428161,3.48112698087561,34.2814181977347,9228000000.0,-0.0108331438950126,-0.0611820811934334,0.924633106489907,229283321.925065,296513338.526763,388666580.271617,17.0189617356409,12.3489232498432,11.5752574324586,0.0949985992419378,0.094989863860588,2.38592305373972,0.688946794379811,99.5205326136316
1972-10-01,17.7233618699666,201975.0,0.453220248142619,1.66023638483796,380000.0,8.07,414866.666666667,2.38034796823805,77.5518602102141,0.0822322353831689,42084.75,-3.06018360866358,18.1369939946896,6.84333333333333,-0.0505604549827901,4.40804594021884,0.431040989985936,115465.5,44565.0,23909.0,163.416,1.10060702557469,3.59856016804838,0.429657043029414,22024.0,6.81959082455051,0.0983549357287101,0.0985787067766712,2.07345971563979,1.2799,88.040781005302,0.769867537048922,106.672,0.183261834812424,5348216422.72283,5282663345.31074,6860678253.46131,4.30548862560031,56433.33,48628.529403688,3.52741092237598,5.28859499896792,0.531457573778712,7.53779205417312,15.6557463148189,1.01643638700672,0.453220248142619,5752968563.48816,5636954861.37049,7321714960.31867,154.348999773924,4.30548862560029,35.4791294818242,9224000000.0,1.64837665494423,-0.376268567887539,1.01356575726191,404752140.765325,354291516.059742,461036706.85736,17.4782662746469,12.4161994660954,12.7683688602793,0.0983549357287101,0.0985787067766712,3.17506554378749,0.889691636196613,101.161005840111
1973-01-01,17.8828001224242,205994.0,0.462249674607571,1.99228222965678,367166.666666667,8.41333333333334,398366.666666667,2.29218693237738,78.8625332972719,0.0857169381267763,42865.67,4.2376359190166,18.4465953929711,7.80333333333333,2.90179871664768,5.8580493774206,0.443548931901573,118273.7,45277.0,25199.0,166.014,1.26875073821804,3.97360363000616,0.435108319934656,22772.0,6.46050214329453,0.101994068350672,0.101953365667231,0.899593731863034,1.4445,89.3830176431951,0.73012407825513,108.368,0.187304524866412,5615307100.92277,5420019909.84165,7442037492.06485,5.0081555662879,44100.0,47348.6010096214,3.26322834485974,8.35189467561394,0.548800247967163,2.20596397396438,11.3565397132553,1.0305479425598,0.462249674607571,5788489184.50447,5727814475.64398,7863462219.58806,,5.00815556628792,36.4957234498371,9269000000.0,-2.01600328453311,-0.64001962532086,0.977259918442728,173182083.581698,307794565.802332,421424727.523209,17.7350817158115,12.4348873039432,13.4185086725906,0.101994068350672,0.101953365667231,1.5245623932076,0.897056239872546,99.1215966397076
