1.06	96.25	57.33	82.33	62.13	1283.40	21.59	1.88	1214.48	9.47
1.05	94.95	73.03	84.57	71.67	1295.55	21.77	1.91	1235.28	9.26
1.04	92.97	83.60	88.53	79.23	1385.09	23.42	1.81	1338.09	9.03
0.99	89.66	93.30	96.07	89.93	1576.09	25.94	1.51	1599.29	8.78
0.93	86.81	94.53	99.30	95.17	1510.81	23.73	1.62	1618.43	8.54
0.91	85.58	105.50	100.93	104.87	1468.19	22.60	1.72	1621.39	8.36
0.87	83.86	105.43	103.57	109.17	1324.73	21.34	1.83	1524.38	8.15
0.92	88.23	92.40	97.03	95.07	1297.05	19.01	1.95	1404.55	8.04
0.87	85.57	94.80	96.70	100.40	1186.62	18.67	2.11	1358.72	8.01
0.89	86.79	90.00	90.23	93.80	1052.13	16.08	2.55	1183.85	8.02
0.90	87.26	69.10	86.67	78.37	1009.14	15.71	2.65	1127.71	8.13
0.88	86.74	74.30	91.57	84.10	1021.72	16.49	2.51	1164.69	8.20
0.92	88.72	89.27	90.33	90.43	1028.92	15.66	2.61	1121.87	8.36
0.98	91.92	94.90	89.40	88.80	882.40	12.71	3.25	896.69	8.51
1.00	92.96	93.37	90.07	87.40	835.79	12.05	3.33	834.85	8.65
1.07	97.53	109.47	88.13	91.47	830.20	11.56	3.57	774.16	8.81
1.14	101.95	92.80	83.77	78.03	930.55	12.75	3.37	818.38	8.82
1.12	101.72	100.00	84.70	82.87	1002.30	13.65	3.08	890.14	8.85
1.19	103.75	103.20	88.10	83.27	1119.21	14.22	2.94	938.59	8.90
1.25	106.15	112.47	94.93	88.77	1264.51	15.56	2.81	1011.45	8.95
1.20	103.60	125.33	99.10	100.23	1219.24	15.16	2.96	1011.88	9.00
1.22	104.12	141.97	93.87	105.33	1215.43	13.92	3.22	994.35	9.04
1.30	106.47	150.63	90.47	103.30	1373.92	14.02	3.11	1057.69	9.06
1.31	106.25	162.83	98.47	109.73	1489.13	14.50	2.62	1136.04	9.08
1.26	104.28	180.90	101.80	122.63	1453.21	14.14	2.84	1154.98	9.07
1.22	102.68	211.73	104.80	140.47	1529.59	14.99	2.66	1253.92	8.99
1.19	101.49	199.43	111.43	138.27	1545.30	15.35	2.59	1300.30	8.88
1.20	101.71	215.20	122.97	149.70	1729.90	16.37	2.38	1438.65	8.77
1.26	103.96	241.03	130.47	159.87	1824.89	15.26	2.66	1451.42	8.50
1.27	104.62	242.20	132.20	158.90	1850.99	14.58	2.75	1452.41	8.22
1.29	104.37	208.30	135.93	143.13	2051.14	15.37	2.56	1589.88	8.01
1.31	105.02	201.80	140.17	140.83	2207.23	15.73	2.49	1684.11	7.73
1.35	106.47	233.77	145.63	154.13	2412.52	16.10	2.54	1788.99	7.53
1.37	106.66	259.23	140.87	162.37	2382.69	15.15	2.67	1733.46	7.47
1.45	109.04	309.13	136.23	176.67	2501.76	13.46	2.75	1728.17	7.37
1.50	110.54	336.77	154.47	192.10	2243.43	11.73	3.25	1498.11	7.24
1.56	112.95	427.20	156.23	223.10	2307.79	11.72	3.49	1477.21	7.40
1.51	110.51	407.80	152.57	223.07	1928.03	10.29	4.15	1281.51	7.60
1.32	106.44	195.50	123.70	137.53	1253.69	7.86	5.74	948.71	8.05
1.30	109.20	155.37	112.73	114.57	1088.97	7.52	6.46	833.84	8.82
1.36	110.21	209.33	119.13	134.93	1243.27	11.03	5.57	911.89	9.36
1.43	110.88	241.03	123.63	145.33	1450.27	14.78	4.32	1013.06	9.70
1.48	112.17	266.27	129.83	154.33	1617.28	18.24	3.85	1095.22	9.85
1.38	106.93	271.83	143.37	170.87	1521.33	18.31	3.61	1099.24	9.93
1.27	101.77	276.67	170.80	193.40	1374.48	15.64	3.56	1077.62	10.05
1.29	100.92	267.37	182.63	190.53	1381.36	14.27	3.52	1068.04	NaN
