1.41	NaN	133.93	92.10	88.27	157.34	7.98	4.68	94.03	NaN
1.39	NaN	131.87	91.00	88.87	152.57	7.17	4.99	93.64	NaN
1.42	NaN	120.53	91.13	83.23	165.33	7.27	4.91	100.24	NaN
1.34	NaN	143.47	95.73	98.23	161.16	7.82	4.77	104.47	NaN
1.23	NaN	137.13	97.73	101.67	148.01	8.04	4.68	105.36	NaN
1.12	NaN	121.40	99.77	103.13	136.13	8.66	4.66	107.22	NaN
1.03	NaN	119.47	101.57	108.40	121.83	9.77	4.70	102.91	NaN
1.09	NaN	125.33	92.33	104.50	122.89	9.40	4.94	99.81	NaN
1.04	NaN	111.37	96.73	101.77	120.70	9.95	4.79	103.34	NaN
1.00	NaN	118.73	94.63	107.80	118.86	9.93	4.80	105.68	NaN
0.95	NaN	116.27	95.13	110.67	107.64	9.51	5.03	101.89	NaN
0.93	NaN	114.43	94.30	110.23	112.25	10.09	4.73	109.58	NaN
0.95	NaN	102.77	97.20	101.23	126.90	11.04	4.26	121.99	NaN
0.91	NaN	104.20	108.93	108.77	139.56	13.00	3.65	141.45	NaN
0.86	NaN	106.83	122.03	117.60	138.24	13.23	3.54	149.98	NaN
0.84	NaN	102.13	126.17	116.73	140.43	13.58	3.48	155.89	NaN
0.83	NaN	103.30	128.70	119.00	151.76	13.82	3.25	170.63	NaN
0.82	NaN	103.37	129.77	120.13	151.66	12.28	3.40	171.26	NaN
0.77	NaN	99.53	127.33	122.73	140.78	11.46	3.64	170.82	NaN
0.73	NaN	96.93	127.77	124.97	144.73	12.12	3.45	183.83	NaN
0.68	NaN	96.83	131.33	132.13	149.09	12.62	3.18	201.63	NaN
0.73	NaN	94.93	123.40	122.80	169.41	11.70	3.12	219.53	NaN
0.78	NaN	95.60	109.93	112.70	195.39	12.25	3.06	237.08	NaN
0.85	NaN	99.03	106.43	107.73	241.84	13.73	2.79	269.56	NaN
0.92	NaN	59.43	106.23	77.87	308.74	16.34	2.46	315.13	NaN
0.96	NaN	43.73	99.13	63.63	360.99	17.16	2.27	356.23	NaN
