DATE,VALUE
1955-01-01,25.8774929921270
1955-04-01,26.7331911640446
1955-07-01,27.2643141673037
1955-10-01,28.0314918386781
1956-01-01,29.3002856797972
1956-04-01,28.7986695100524
1956-07-01,29.9789428506284
1956-10-01,30.7166136884883
1957-01-01,30.8641478560603
1957-04-01,32.4280100323234
1957-07-01,32.4870236993522
1957-10-01,32.1624485306938
1958-01-01,33.0476535361258
1958-04-01,32.7820920344962
1958-07-01,33.3427218712697
1958-10-01,33.2542013707265
1959-01-01,34.9655977145616
1959-04-01,35.0836250486192
1959-07-01,35.3786933837632
1959-10-01,35.5852412183640
1960-01-01,37.1491033946271
1960-04-01,39.5391569092933
1960-07-01,39.5686637428077
1960-10-01,40.7194302498692
1961-01-01,40.6309097493260
1961-04-01,40.3948550812109
1961-07-01,41.4571010877292
1961-10-01,42.4898402607331
1962-01-01,44.6438391072842
1962-04-01,46.0011534489465
1962-07-01,45.7355919473169
1962-10-01,46.6207969527488
1963-01-01,46.2372081170616
1963-04-01,46.3552354511193
1963-07-01,47.0338926219504
1963-10-01,48.3026864630695
1964-01-01,49.0698641344439
1964-04-01,49.6009871377030
1964-07-01,49.8665486393326
1964-10-01,52.7582183237436
1965-01-01,52.9352593248300
1965-04-01,54.2630668329779
1965-07-01,55.1777786719242
1965-10-01,54.8236966697515
1966-01-01,56.6531203476442
1966-04-01,56.1515041778994
1966-07-01,56.8006545152161
1966-10-01,55.3843265065250
1967-01-01,56.8891750157593
1967-04-01,55.6203811746402
1967-07-01,56.9481886827881
1967-10-01,57.3907911855041
1968-01-01,56.3875588460146
1968-04-01,58.5710645260800
1968-07-01,59.6923241996272
1968-10-01,60.8725975402030
1969-01-01,61.8463230461782
1969-04-01,62.8200485521533
1969-07-01,65.2396089003340
1969-10-01,66.5969232419963
1970-01-01,64.9740473987044
1970-04-01,68.5443742539465
1970-07-01,69.9016885956088
1970-10-01,72.7048377794766
1971-01-01,71.0229482691560
1971-04-01,72.6458241124479
1971-07-01,73.6785632854518
1971-10-01,73.6490564519374
1972-01-01,74.7998229589989
1972-04-01,74.9178502930565
1972-07-01,77.8980404780107
1972-10-01,77.1603696401508
1973-01-01,77.9570541450395
1973-04-01,77.5439584758379
1973-07-01,76.5407261363484
1973-10-01,75.3014391287437
1974-01-01,75.3014391287437
1974-04-01,75.9800962995748
1974-07-01,76.0686168001180
1974-10-01,75.2719322952293
1975-01-01,76.5702329698628
1975-04-01,78.1340951461259
1975-07-01,78.2521224801835
1975-10-01,79.9045051569898
1976-01-01,79.6979573223890
1976-04-01,79.7569709894178
1976-07-01,80.9372443299937
1976-10-01,81.9109698359688
1977-01-01,82.4420928392280
1977-04-01,82.7371611743720
1977-07-01,84.3010233506351
1977-10-01,85.0091873549806
1978-01-01,84.8616531874086
1978-04-01,85.6288308587830
1978-07-01,86.6025563647581
1978-10-01,87.5172682037044
1979-01-01,86.8681178663877
1979-04-01,89.7302807172843
1979-07-01,87.7533228718196
1979-10-01,87.9893775399348
1980-01-01,89.9663353853995
1980-04-01,86.9861452004453
1980-07-01,88.4024732091364
1980-10-01,88.2844458750788
1981-01-01,88.9335962123956
1981-04-01,86.4550221971861
1981-07-01,86.7500905323301
1981-10-01,86.9271315334165
1982-01-01,86.3960085301573
1982-04-01,83.4748320122319
1982-07-01,82.4125860057136
1982-10-01,83.1502568435736
1983-01-01,85.2157351895814
1983-04-01,85.7173513593262
1983-07-01,82.8846953419440
1983-10-01,84.4485575182071
1984-01-01,85.3927761906678
1984-04-01,84.6846121863222
1984-07-01,85.7763650263550
1984-10-01,84.4780643517214
1985-01-01,84.9501736879518
1985-04-01,85.3042556901246
1985-07-01,86.8091041993589
1985-10-01,86.2779811960997
1986-01-01,85.9534060274414
1986-04-01,90.0253490524283
1986-07-01,89.0221167129388
1986-10-01,89.9368285518851
1987-01-01,88.4024732091364
1987-04-01,92.2973752330369
1987-07-01,92.9465255703537
1987-10-01,95.1005244169047
1988-01-01,92.9760324038681
1988-04-01,94.6874287477032
1988-07-01,95.6021405866495
1988-10-01,96.1627704234231
1989-01-01,97.1069890958838
1989-04-01,97.3725505975134
1989-07-01,97.7266325996862
1989-10-01,99.7035904451508
1990-01-01,101.8575892917020
1990-04-01,102.7132874636190
1990-07-01,110.9456940141360
1990-10-01,108.4966268324410
1991-01-01,113.9553910326050
1991-04-01,113.4242680293460
1991-07-01,110.9752008476510
1991-10-01,109.6473933395030
1992-01-01,110.5030915114200
1992-04-01,108.4376131654130
1992-07-01,108.6441610000130
1992-10-01,110.7391461795360
1993-01-01,105.1918614788290
1993-04-01,104.2181359728540
1993-07-01,106.1950938183180
1993-10-01,104.2181359728540
1994-01-01,104.0506751125190
1994-04-01,102.3503917319550
1994-07-01,103.1838639773300
1994-10-01,103.7172862143690
1995-01-01,104.7174529088180
1995-04-01,105.1841973662280
1995-07-01,104.6174362393730
1995-10-01,104.0840140023340
1996-01-01,103.8173028838140
1996-04-01,103.9839973328890
1996-07-01,104.1840306717790
1996-10-01,102.7504584097350
1997-01-01,102.4837472912150
1997-04-01,103.1505250875150
1997-07-01,100.8168028004670
1997-10-01,101.5169194865810
1998-01-01,102.8504750791800
1998-04-01,101.4169028171360
1998-07-01,102.2503750625100
1998-10-01,103.2505417569600
1999-01-01,103.2838806467740
1999-04-01,101.2835472578760
1999-07-01,101.0501750291720
1999-10-01,102.4837472912150
2000-01-01,103.0838473078850
2000-04-01,103.7172862143690
2000-07-01,102.6171028504750
2000-10-01,103.1171861977000
2001-01-01,104.1840306717790
2001-04-01,103.7172862143690
