DATE,VALUE
1958-01-01,26.4255490132774
1958-02-01,26.5366253196377
1958-03-01,26.9677487246435
1958-04-01,26.1202435979766
1958-05-01,26.4394431777916
1958-06-01,26.7625166208786
1958-07-01,26.3051734283128
1958-08-01,27.3088185001694
1958-09-01,26.5342669469320
1958-10-01,26.5249080964463
1958-11-01,27.1423597127114
1958-12-01,27.2525059550338
1959-01-01,27.0122992212874
1959-02-01,27.0854645699068
1959-03-01,27.3737051557056
1959-04-01,27.3092636535812
1959-05-01,28.4371753135655
1959-06-01,28.2918730864913
1959-07-01,27.8849288512916
1959-08-01,29.5349364186259
1959-09-01,29.1205923652983
1959-10-01,30.2163360937012
1959-11-01,29.9246597579810
1959-12-01,30.0486179649546
1960-01-01,30.5409107108873
1960-02-01,30.3635891936788
1960-03-01,30.7944158777774
1960-04-01,31.4876328370718
1960-05-01,31.0947698829874
1960-06-01,31.2571426822035
1960-07-01,32.4086149835022
1960-08-01,31.7850168549848
1960-09-01,32.3311478215957
1960-10-01,33.0233361290000
1960-11-01,32.7652225218222
1960-12-01,33.2250193114352
1961-01-01,33.6711009243848
1961-02-01,33.8703591646351
1961-03-01,34.1951438264030
1961-04-01,34.1837488775630
1961-05-01,33.4601009678565
1961-06-01,33.4619146216490
1961-07-01,34.0861746813297
1961-08-01,33.8284770665443
1961-09-01,34.1077284791644
1961-10-01,33.8449146163290
1961-11-01,33.9434927798600
1961-12-01,34.7018481666700
1962-01-01,36.2153465700625
1962-02-01,36.1462333132494
1962-03-01,36.1462333132494
1962-04-01,35.5933272587446
1962-05-01,36.6991393677542
1962-06-01,36.6991393677542
1962-07-01,36.7682526245673
1962-08-01,38.3578575312685
1962-09-01,37.4593851926982
1962-10-01,36.8373658813804
1962-11-01,37.5976117063244
1962-12-01,36.6300261109411
1963-01-01,36.7682526245673
1963-02-01,36.3535730836887
1963-03-01,37.2520454222589
1963-04-01,37.5976117063244
1963-05-01,37.8740647335768
1963-06-01,37.5284984495113
